"gene"	"drug.status"	"Synonym"	"Payload"	"drugs"	"Indications"
"CA9"	"Approved by FDA"	"CAIX"	"HIF2A inhibitor"	"Belzutifan"	"Renal cell carcinoma"
"CD19"	"Approved by FDA"	""	"CAR T;CAR T;CAR T;PBD dimer (DNA);CAR T"	"Kymriah (Tisagnlecleucel);Yescarta (Axicabtagene ciloleucel);Tecartus (Brexucabtagene autoleucle);Zynlonta (Loncastuximab tesirine);Breyanzi (Lisocabtagene maraleucel)"	"B-ALL;B-cell NHL; Follicular lymphoma;Mantle cell lymphoma (MCL); B-ALL;Relapsed or refractory large B-cell lymphoma;B-cell NHL"
"CD22"	"Approved by FDA"	""	"Ozogamicin (DNA);PE38 (endotoxin)"	"Besponsa (Inotuzumab ozogamicin);Lumoxiti (Moxetumomab pseudotox)"	"Acute lymphoblastic leukemia (ALL);Hairy cell leukemia (HCL)"
"CD33"	"Approved by FDA"	""	"Ozogamicin (DNA)"	"Mylotarg (Gemtuzumab ozogamicin)"	"Relapsed or refractory (R/R) CD33-positive AML"
"CD79B"	"Approved by FDA"	"IGB"	"Vedotin (tubulin)"	"Polivy (Polatuzumab vedotin)"	"Diffuse large B-cell lymphoma (DLBCL)"
"ERBB2"	"Approved by FDA"	"HER2;HER2"	"Emtansine (tubulin);Deruxtecan (TOP1)"	"Kadcyla (Trastuzumab emtansine) (T-DM1);Enhertu (Trastuzumab deruxtecan)"	"HER2-positive metastatic breast cancer;HER2-positive metastatic breast cancer, HER2-positive metastatic gastric cancer; Advanced HER-2-positive cancers"
"F3"	"Approved by FDA"	"Thromboplastin/Tissue Factor"	"Vedotin (tubulin)"	"Tivdak (Tisotumab vedotin)"	"Metastatic cervical cancer"
"FOLR1"	"Approved by FDA"	"Folate Receptor alpha"	"DM4 (tubulin)"	"Elahere (Mirvetuximab soravtansine) (MORAb-202)"	"Ovarian cancer"
"NECTIN4"	"Approved by FDA"	""	"Vedotin (tubulin)"	"Padcev (Enfortumab vedotin)"	"Urothelial cancer"
"TACSTD2"	"Approved by FDA"	"TROP-2;TROP-2"	"Govitecan (TOP1);Deruxtecan (TOP1)"	"Trodelvy (Sacituzumab govitecan-hziy);Datopotamab deruxtecan"	"Metastatic triple-negative breast cancer, metastatic urothelial cancer;HR+, HER2-negative breast cancer"
"TNFRSF17"	"Approved by FDA"	"BCMA;BCMA;BCMA"	"Mafodotin (monomethylauristatin-F (MMAF));CAR T;CAR T"	"Belamaf - Bienrep (Belantamab mafodotin);Abecma (Idecabtagene vicleucel);Carvykti (Ciltacabtagene autoleucel)"	"Relapsed or refractory multiple myeloma;Relapsed or refractory multiple myeloma;Relapsed or refractory multiple myeloma"
"TNFRSF8"	"Approved by FDA"	"CD30"	"Vedotin (auristatin E=MMAE) (tubulin)"	"Adcetris (Brentuximab vedotin)"	"Hodgkin lymphoma, systemic anaplastic large cell lymphoma, other CD30-positive lymphomas"
"EGFR"	"Approved outside US"	""	"IR700"	"Akalux (Cetuximab Sarotalocan)"	"Locally advanced or locally recurrent head and neck cancer"
"ERBB2"	"Approved outside US"	"HER2"	"MMAE (tubulin)"	"Aidexi (Disitamab vedotin)"	"Advanced or metastatic gastric cancer"
"AXL"	"Clinical trial"	""	"PBD dimer (DNA)"	"Mipasetamab Uzoptirine (ADCT-601)"	"Advanced refractory solid tumors"
"CD19"	"Clinical trial"	""	"Tesirine (tubulin);DNA binder"	"Loncastuximab tesirine (ADCT-402);IKS03"	"B-ALL, CLL and Non-Hodgkin lyjmphoma (NHL);B-ALL, CLL and Non-Hodgkin lyjmphoma (NHL)"
"CD274"	"Clinical trial"	"PDL1"	"TOP1 inhibitor"	"HLX43"	"Advanced refractory solid tumors"
"CD276"	"Clinical trial"	"B7-H3;B7H3;B7H3;B7H3;B7H3;B7H3;B7H3"	"TOP1 inhibitor;Exatecan (TOP1);TOP1 inhibitor;Duocarmycin (DNA);Deruxtecan (TOP1);?;TOP1 inhibitor"	"YL201;BAT8009;7MW3711;Vobramitamab duocarmazine (MGC018);DS-7300a;HS-20089;HS-20093"	"Relapsed or refractory (R/R) B7-H3-positive AML;Advanced refractory solid tumors;Advanced refractory solid tumors;Metastatic prostate cancer and advanced cancers;Advanced refractory solid tumors;Advanced refractory solid tumors;Advanced refractory solid tumors"
"CD38"	"Clinical trial"	""	"Duostatin 5.2 (DUO-5.2)"	"STI-6129"	"Relapsed or refractory multiple myeloma"
"CD44"	"Clinical trial"	"HUTCH-1"	"Belotecan (KL610023 - Sichuan Kelun-Biotech)"	"AMT-116"	"Advanced refractory solid tumors"
"CD46"	"Clinical trial"	""	"Monomethyl auristatin E (MMAE) (tubulin)"	"FOR46"	"Castration-resistant prostate cancer (mCRPC)"
"CDH17"	"Clinical trial"	""	"?"	"TORL-3-600"	"Advanced colorectal cancers"
"CDH6"	"Clinical trial"	""	"Exatecan (TOP1)"	"CUSP06"	"Platinum-resistant ovarian cancers and other advanced solid tumors"
