"","Name","OncoTree1","OncoTree2","Age","PrimaryOrMetastasis","SampleCollectionSite","Sex","Top_Sensitive_Drugs","Bottom_Resistant_Drugs","nb_drugs"
"61","BICR 6","Head_Neck",NA,NA,"Primary","upper aerodigestive tract","Male","leptomycin B ; ouabain ; paclitaxel (FDA) ; docetaxel (FDA) ; SB-743921 ; panobinostat (FDA) ; dinaciclib ; CR-1-31B ; vincristine (FDA) ; omacetaxine mepesuccinate (FDA)","Compound 1541A ; azacitidine (FDA) ; STF-31 ; BRD-K42260513 ; tacrolimus ; CCT036477 ; CAY10618 ; KH-CB19 ; itraconazole (CTR) ; BMS-195614","414"
"62","BJ hTERT","Skin",NA,0,"","fibroblast","Male",NA,NA,NA
"63","BL-41","Lymph","Non-Hodgkin's Lymphoma (NHL)",8,"","haematopoietic and lymphoid tissue","Male","doxorubicin (FDA) ; obatoclax (CTR) ; salermide ; CD-437 ; sirolimus (FDA) ; bardoxolone methyl ; necrosulfonamide ; BRD-K19103580 ; JW-74 ; vincristine (FDA)","BRD-K50799972 ; oligomycin A ; lapatinib (FDA) ; BRD6340 ; avrainvillamide ; vorinostat (FDA) ; MLN2480 ; BRD-K16147474 ; saracatinib (CTR) ; PF-543","108"
"64","BL-70","Lymph","Non-Hodgkin's Lymphoma (NHL)",16,"","haematopoietic and lymphoid tissue","Male","leptomycin B ; oligomycin A ; paclitaxel (FDA) ; docetaxel (FDA) ; SB-743921 ; omacetaxine mepesuccinate (FDA) ; CR-1-31B ; dinaciclib ; BI-2536 (CTR) ; ouabain","birinapant ; 16-beta-bromoandrosterone ; PRL-3 inhibitor I ; A-804598 ; palmostatin B ; ML334 diastereomer ; nilotinib (FDA) ; BRD-K02492147 ; BRD-K04800985 ; BRD-K09587429","388"
"65","BT-20","Breast","Breast Carcinoma (BRCA)",74,"Primary","breast","Female","leptomycin B ; 1S-3R-RSL-3 ; dinaciclib ; ML162 ; docetaxel (FDA) ; CR-1-31B ; SB-743921 ; methotrexate (FDA) ; ML210 ; paclitaxel (FDA)","BRD-K85133207 ; isonicotinohydroxamic acid ; ML334 diastereomer ; BRD-A02303741 ; A-804598 ; procarbazine (FDA) ; HLI 373 ; BRD-K04800985 ; sildenafil ; ML083","419"
"66","BT-474","Breast","Breast Carcinoma (BRCA)",60,"Primary","breast","Female","SB-743921 ; ouabain ; panobinostat (FDA) ; neratinib ; dinaciclib ; BI-2536 (CTR) ; 1S-3R-RSL-3 ; afatinib (FDA) ; paclitaxel (FDA) ; docetaxel (FDA)","BRD-A02303741 ; dexamethasone ; Compound 7d-cis ; clofarabine (FDA) ; MI-2 ; VAF-347 ; gemcitabine (FDA) ; tamatinib ; CD-1530 ; SR1001","403"
"67","BT-483","Breast","Breast Carcinoma (BRCA)",23,"Primary","breast","Female",NA,NA,NA
"68","BT-549","Breast","Breast Carcinoma (BRCA)",72,"Primary","breast","Female","leptomycin B ; ouabain ; docetaxel (FDA) ; paclitaxel (FDA) ; dinaciclib ; SB-743921 ; BI-2536 (CTR) ; KPT185 ; cucurbitacin I ; GSK461364","nilotinib (FDA) ; daporinad ; sildenafil ; gefitinib (FDA) ; GDC-0879 ; NPC-26 ; BRD-A02303741 ; tamatinib ; BRD-K29313308 ; erlotinib (FDA)","403"
"69","BT12","Soft_Tissue",NA,0,"","soft tissue","Female",NA,NA,NA
"70","BV-173","Blood","Leukemia (LEUK)",45,"Primary","haematopoietic and lymphoid tissue","Male","cytarabine hydrochloride ; BI-2536 (CTR) ; paclitaxel (FDA) ; vincristine (FDA) ; clofarabine (FDA) ; SB-743921 ; leptomycin B ; dasatinib (FDA) ; BRD-K14844214 ; BRD-K02251932","BRD8899 ; UNC0321 ; MI-1 ; isonicotinohydroxamic acid ; JW-55 ; BRD-K17060750 ; semagacestat ; Compound 1541A ; AC55649 ; RG-108","382"
"71","BxPC-3","Pancreas","Pancreatic Adenocarcinoma (PAAD)",61,"Primary","pancreas","Female","leptomycin B ; SNX-2112 ; paclitaxel (FDA) ; panobinostat (FDA) ; SB-743921 ; CR-1-31B ; vincristine (FDA) ; narciclasine ; SR-II-138A ; birinapant","EX-527 ; ML203 ; parthenolide ; BRD-K64610608 ; BRD-K24690302 ; nelarabine (FDA) ; azacitidine (FDA) ; procarbazine (FDA) ; BRD-K34099515 ; dexamethasone","406"
"72","C2BBe1","Bowel","Colorectal Adenocarcinoma (COADREAD)",72,"Primary","Colon","Male","panobinostat (FDA) ; ouabain ; dinaciclib ; CR-1-31B ; brefeldin A ; methotrexate (FDA) ; AT13387 (CTR) ; SR-II-138A ; NVP-TAE684 ; AZD8055 (CTR)","procarbazine (FDA) ; necrostatin-1 ; bexarotene ; brivanib ; BRD8958 ; NSC 74859 ; GDC-0879 ; SJ-172550 ; Mdivi-1 ; AZD7545","417"
"73","C32","Skin","Melanoma (MEL)",53,"Primary","skin","Male","trametinib (FDA) ; leptomycin B ; oligomycin A ; dabrafenib (FDA) ; SB-743921 ; topotecan (FDA) ; PD318088 ; tanespimycin (CTR) ; AT13387 (CTR) ; BRD-K97651142","ML320 ; nelarabine (FDA) ; ML203 ; BRD-K33199242 ; CHIR-99021 ; VAF-347 ; BRD-K29313308 ; Compound 1541A ; BRD-K88742110 ; dacarbazine (FDA)","400"
"74","C3A","Liver","Hepatocellular Carcinoma (HCC)",15,"Primary","liver","Male",NA,NA,NA
"75","C8166","Lymph",NA,0,"","haematopoietic and lymphoid tissue","Male",NA,NA,NA
"76","CA46","Lymph","Non-Hodgkin's Lymphoma (NHL)",NA,"Primary","ascites","Male","SB-743921 ; vincristine (FDA) ; GSK461364 ; paclitaxel (FDA) ; docetaxel (FDA) ; dinaciclib ; ML210 ; BI-2536 (CTR) ; CR-1-31B ; ouabain","birinapant ; BRD-K29313308 ; AZD7545 ; GDC-0879 ; ML334 diastereomer ; BRD-K50799972 ; myricetin ; Compound 1541A ; BRD-K99006945 ; BRD-K55116708","330"
"77","CACO2","Esophagus_Stomach",NA,72,"Primary","Colon","Male",NA,NA,NA
"78","CADO-ES1","Bone","Ewing Sarcoma (ES)",19,"Metastatic","pleural effusion","Female","N9-isopropylolomoucine ; leptomycin B ; topotecan (FDA) ; austocystin D ; brefeldin A ; CR-1-31B ; KX2-391 ; CAY10618 ; obatoclax (CTR) ; SN-38","GSK4112 ; birinapant ; PRL-3 inhibitor I ; BMS-270394 ; LY-2157299 ; erismodegib ; WAY-362450 ; semagacestat ; UNC0321 ; FSC231","53"
"79","Caki-1","Kidney","Renal Cell Carcinoma (RCC)",49,"Metastatic","skin","Male","1S-3R-RSL-3 ; panobinostat (FDA) ; ML210 ; ML162 ; ouabain ; leptomycin B ; dasatinib (FDA) ; AZD8055 (CTR) ; RITA ; topotecan (FDA)","GDC-0879 ; barasertib ; nilotinib (FDA) ; AA-COCF3 ; BRD-K55116708 ; birinapant ; UNC0321 ; BRD-K50799972 ; BRD1835 ; BRD-A05715709","420"
"80","Caki-2","Kidney","Renal Cell Carcinoma (RCC)",69,"Primary","kidney","Male","SB-743921 ; cucurbitacin I ; panobinostat (FDA) ; 1S-3R-RSL-3 ; dasatinib (FDA) ; leptomycin B ; docetaxel (FDA) ; pluripotin ; ABT-737 ; omacetaxine mepesuccinate (FDA)","daporinad ; BRD-K55116708 ; AZ-3146 ; GSK525762A ; SRT-1720 ; procarbazine (FDA) ; barasertib ; pifithrin-mu ; SU11274 ; nilotinib (FDA)","420"
"81","CAL 27","Head_Neck",NA,56,"Primary","upper aerodigestive tract","Male","SB-743921 ; leptomycin B ; paclitaxel (FDA) ; dinaciclib ; afatinib (FDA) ; rigosertib ; BI-2536 (CTR) ; KX2-391 ; vincristine (FDA) ; GSK461364","ETP-46464 ; nilotinib (FDA) ; palmostatin B ; salermide ; isonicotinohydroxamic acid ; BMS-195614 ; BRD-K16147474 ; BRD-A05715709 ; BRD-K48477130 ; BRD-K51831558","391"
"82","CAL-120","Breast","Breast Carcinoma (BRCA)",43,"Metastatic","pleural effusion","Female","panobinostat (FDA) ; brefeldin A ; methotrexate (FDA) ; ouabain ; YM-155 (CTR) ; AZD8055 (CTR) ; bardoxolone methyl ; AZD7762 (CTR) ; BRD-K63431240 ; narciclasine","RITA ; MI-1 ; IU1 ; BRD-K51490254 ; LY-2157299 ; TGX-221 ; IPR-456 ; L-685458 ; BRD-K85133207 ; birinapant","342"
