"","Name","OncoTree1","OncoTree2","Age","PrimaryOrMetastasis","SampleCollectionSite","Sex","Top_Sensitive_Drugs","Bottom_Resistant_Drugs","nb_drugs"
"48","BCP-1","Lymph","Non-Hodgkin's Lymphoma (NHL)",94,"","haematopoietic and lymphoid tissue","Male","leptomycin B ; oligomycin A ; ouabain ; dinaciclib ; panobinostat (FDA) ; GSK461364 ; RITA ; CR-1-31B ; omacetaxine mepesuccinate (FDA) ; docetaxel (FDA)","MI-1 ; BRD8899 ; BRD-K51831558 ; CAL-101 (FDA) ; PD318088 ; PYR-41 ; pifithrin-alpha ; CAY10576 ; ML239 ; BRD9647","74"
"49","BDCM","Blood","Leukemia (LEUK)",NA,"","haematopoietic and lymphoid tissue","Male","leptomycin B ; SB-743921 ; ouabain ; 1S-3R-RSL-3 ; topotecan (FDA) ; pluripotin ; AZD7762 (CTR) ; AZD8055 (CTR) ; etoposide (FDA) ; MLN2238","SGX-523 ; veliparib (CTR) ; MI-1 ; fumonisin B1 ; BRD-K29313308 ; VU0155056 ; BRD-K51490254 ; PF-543 ; BIX-01294 ; C6-ceramide","58"
"50","Becker","Brain_CNS","Diffuse Glioma (DIFG)",57,"Primary","central nervous system","Male","SB-743921 ; docetaxel (FDA) ; paclitaxel (FDA) ; ouabain ; vincristine (FDA) ; GSK461364 ; panobinostat (FDA) ; BI-2536 (CTR) ; AZD8055 (CTR) ; leptomycin B","BRD-K55116708 ; RO4929097 ; BRD-K85133207 ; necrostatin-7 ; nilotinib (FDA) ; BRD-K24690302 ; BRD-K17060750 ; BRD-K51490254 ; BRD-K16147474 ; XL765","415"
"51","BEN","Lung",NA,71,"Metastatic","lymph node","Male","panobinostat (FDA) ; brefeldin A ; ouabain ; BRD-K35604418 ; SCH-79797 ; erismodegib ; JQ-1 ; NSC23766 ; daporinad ; bardoxolone methyl","ciclosporin ; indisulam ; triazolothiadiazine ; BRD1812 ; FQI-2 ; alisertib ; BRD-K66453893 ; paclitaxel (FDA) ; BRD-K48334597 ; BRD-K96970199","402"
"52","BFTC-905","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA)",51,"Primary","urinary tract","Female","methotrexate (FDA) ; ouabain ; neopeltolide ; leptomycin B ; GSK461364 ; CR-1-31B ; obatoclax (CTR) ; narciclasine ; BI-2536 (CTR) ; topotecan (FDA)","ML203 ; sitagliptin ; ML320 ; tretinoin (FDA) ; BRD-K02492147 ; BRD-K16147474 ; IU1 ; BRD-K97651142 ; itraconazole (CTR) ; BRD-K52037352","307"
"53","BFTC-909","Kidney","Renal Cell Carcinoma (RCC)",64,"Primary","kidney","Male","GSK461364 ; ouabain ; leptomycin B ; panobinostat (FDA) ; methotrexate (FDA) ; vincristine (FDA) ; BI-2536 (CTR) ; narciclasine ; brefeldin A ; CR-1-31B","ML083 ; BRD-K86535717 ; BMS-270394 ; ML312 ; NSC 74859 ; BRD5468 ; sildenafil ; BRD-K02492147 ; L-685458 ; VU0155056","365"
"54","BHT-101","Thyroid","Anaplastic Thyroid Cancer (THAP)",63,"Metastatic","lymph node","Female","leptomycin B ; ouabain ; panobinostat (FDA) ; CR-1-31B ; doxorubicin (FDA) ; narciclasine ; rigosertib ; brefeldin A ; SR-II-138A ; GSK461364","dexamethasone ; BRD-K92856060 ; lenvatinib ; BRD9876 ; Ki8751 ; JW-480 ; tretinoin (FDA) ; ML031 ; tamoxifen (FDA) ; azacitidine (FDA)","397"
"55","BHY","Head_Neck",NA,52,"Primary","upper aerodigestive tract","Male","ouabain ; CR-1-31B ; neopeltolide ; panobinostat (FDA) ; leptomycin B ; SR-II-138A ; SNS-032 ; obatoclax (CTR) ; neratinib ; SNX-2112","dexamethasone ; ML239 ; lenvatinib ; BRD-K44224150 ; L-685458 ; tigecycline ; BRD-K86535717 ; BRD-K17060750 ; quizartinib (CTR) ; BRD9876","404"
"56","BICR 16","Head_Neck",NA,NA,"Primary","upper aerodigestive tract","Male","dinaciclib ; ouabain ; SB-743921 ; leptomycin B ; SNX-2112 ; CR-1-31B ; docetaxel (FDA) ; vincristine (FDA) ; brefeldin A ; panobinostat (FDA)","itraconazole (CTR) ; pifithrin-mu ; BRD8958 ; procarbazine (FDA) ; BRD-K51831558 ; JW-74 ; tivozanib (CTR) ; VER-155008 ; SR1001 ; ML320","419"
"57","BICR 18","Head_Neck",NA,NA,"Metastatic","lymph node","Male","leptomycin B ; CR-1-31B ; panobinostat (FDA) ; dinaciclib ; omacetaxine mepesuccinate (FDA) ; SR-II-138A ; AT13387 (CTR) ; AZD7762 (CTR) ; AZD8055 (CTR) ; SB-743921","SRT-1720 ; WAY-362450 ; Compound 1541A ; procarbazine (FDA) ; NPC-26 ; palmostatin B ; BRD1835 ; ML006 ; etomoxir ; ciclosporin","414"
"58","BICR 22","Head_Neck",NA,88,"Metastatic","lymph node","Male","leptomycin B ; CR-1-31B ; dinaciclib ; paclitaxel (FDA) ; ouabain ; SB-743921 ; docetaxel (FDA) ; omacetaxine mepesuccinate (FDA) ; panobinostat (FDA) ; SR-II-138A","SB-525334 ; ML320 ; NPC-26 ; Compound 1541A ; SR1001 ; NSC95397 ; myricetin ; BRD-K51831558 ; BRD-K28456706 ; CHIR-99021","411"
"59","BICR 31","Head_Neck",NA,NA,"Primary","upper aerodigestive tract","Male","ouabain ; dinaciclib ; panobinostat (FDA) ; AT13387 (CTR) ; AZD8055 (CTR) ; CR-1-31B ; afatinib (FDA) ; SNS-032 ; leptomycin B ; omacetaxine mepesuccinate (FDA)","procarbazine (FDA) ; nilotinib (FDA) ; GDC-0879 ; BRD1835 ; SR1001 ; SRT-1720 ; SU11274 ; pifithrin-mu ; NSC 74859 ; betulinic acid","417"
"60","BICR 56","Head_Neck",NA,NA,"Primary","upper aerodigestive tract","Female","leptomycin B ; dinaciclib ; panobinostat (FDA) ; dasatinib (FDA) ; paclitaxel (FDA) ; afatinib (FDA) ; docetaxel (FDA) ; SB-743921 ; alvocidib (CTR) ; omacetaxine mepesuccinate (FDA)","Compound 1541A ; SU11274 ; necrostatin-1 ; pifithrin-alpha ; AZD7545 ; brivanib ; BRD-K71781559 ; SRT-1720 ; tretinoin (FDA) ; CID-5951923","421"
